City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,23.08,94,48,0.57,EC,1677582119
1,bluff,-46.6,168.3333,15.39,85,75,2.46,NZ,1677582120
2,deputatskiy,69.3,139.9,-38.25,100,58,1.45,RU,1677582121
3,mataura,-46.1927,168.8643,13.23,85,86,0.8,NZ,1677582121
4,bredasdorp,-34.5322,20.0403,26.04,55,63,5.05,ZA,1677582121
5,castro,-24.7911,-50.0119,16.58,96,100,2.36,BR,1677582122
6,busselton,-33.65,115.3333,27.04,44,0,4.5,AU,1677582013
7,karratha,-20.7377,116.8463,30.19,70,8,7.75,AU,1677582062
8,goma,-1.6792,29.2228,21.8,79,100,0.61,CD,1677582124
9,aguimes,27.9054,-15.4461,20.35,60,20,7.72,ES,1677582124
10,hermanus,-34.4187,19.2345,28.22,64,5,6.91,ZA,1677582101
11,khash,28.2211,61.2158,20.31,27,61,3.9,IR,1677582125
12,rikitea,-23.1203,-134.9692,26.62,76,7,6.9,PF,1677582126
13,yerbogachen,61.2767,108.0108,-20.78,99,92,1.79,RU,1677582126
14,esperance,-33.8667,121.9,18.43,70,14,7.42,AU,1677582007
15,sur,22.5667,59.5289,27.71,45,0,2.54,OM,1677582127
16,ajdabiya,30.7554,20.2263,25.61,25,0,1.92,LY,1677582128
17,hasaki,35.7333,140.8333,13.22,60,0,11.02,JP,1677582004
18,broome,42.2506,-75.833,-0.3,84,100,6.69,US,1677582129
19,tura,25.5198,90.2201,27.09,22,0,2.49,IN,1677582129
20,vaini,-21.2,-175.2,25.09,94,20,1.03,TO,1677582131
21,sibolga,1.7427,98.7792,27.01,81,100,0.54,ID,1677582131
22,svetlaya,46.5389,138.3297,-0.2,79,82,2.71,RU,1677582133
23,hilo,19.7297,-155.09,20.85,92,75,5.14,US,1677582133
24,ushuaia,-54.8,-68.3,6.93,94,100,4.2,AR,1677582134
25,caravelas,-17.7125,-39.2481,26.29,81,1,2.41,BR,1677582134
26,saint-louis,16.3333,-15.0,30.47,12,0,7.51,SN,1677582135
27,port elizabeth,-33.918,25.5701,27.28,87,75,4.12,ZA,1677582136
28,chuy,-33.6971,-53.4616,22.62,83,29,4.87,UY,1677582136
29,bethel,41.3712,-73.414,-1.07,84,100,4.63,US,1677582137
30,kathu,7.9178,98.3332,29.9,66,88,3.56,TH,1677582138
31,cape town,-33.9258,18.4232,28.95,68,3,6.71,ZA,1677582139
32,kapaa,22.0752,-159.319,20.62,88,21,2.24,US,1677582139
33,ribeira grande,38.5167,-28.7,16.54,94,75,11.18,PT,1677582140
34,khatanga,71.9667,102.5,-23.32,96,99,3.6,RU,1677582140
35,leningradskiy,69.3833,178.4167,-36.19,96,16,2.12,RU,1677582141
36,beringovskiy,63.05,179.3167,-15.47,84,100,13.38,RU,1677582141
37,tabuk,17.4189,121.4443,20.06,83,82,1.13,PH,1677582142
38,dingle,10.9995,122.6711,24.4,91,99,4.4,PH,1677582142
39,nabire,-3.3667,135.4833,25.13,90,95,0.72,ID,1677582143
40,yima,34.7381,111.8839,13.2,25,100,4.82,CN,1677582083
41,arraial do cabo,-22.9661,-42.0278,24.65,87,75,1.25,BR,1677582144
42,punta arenas,-53.15,-70.9167,10.06,76,77,8.3,CL,1677582144
43,jamestown,42.097,-79.2353,4.45,98,100,9.26,US,1677582144
44,ibirapitanga,-14.1642,-39.3736,24.2,92,92,0.39,BR,1677582145
45,faanui,-16.4833,-151.75,27.75,74,57,3.19,PF,1677582145
46,los llanos de aridane,28.6585,-17.9182,17.86,88,0,3.6,ES,1677582146
47,sao felix do xingu,-6.6447,-51.995,22.72,98,100,0.44,BR,1677582146
48,dikson,73.5069,80.5464,-23.84,97,28,2.62,RU,1677582147
49,boende,-0.2167,20.8667,32.4,43,95,1.43,CD,1677582147
50,tuktoyaktuk,69.4541,-133.0374,-25.86,100,100,2.48,CA,1677582148
51,bambous virieux,-20.3428,57.7575,29.01,70,15,4.52,MU,1677582149
52,praia da vitoria,38.7333,-27.0667,15.98,96,100,14.59,PT,1677582149
53,qingdao,36.0986,120.3719,6.43,72,76,2.87,CN,1677582079
54,coquimbo,-29.9533,-71.3436,17.54,87,0,0.86,CL,1677582150
55,barrow,71.2906,-156.7887,-31.99,83,0,3.09,US,1677582108
56,laguna,38.421,-121.4238,5.72,89,0,5.14,US,1677582151
57,mayo,38.8876,-76.5119,5.64,91,100,2.06,US,1677582151
58,east london,-33.0153,27.9116,26.37,70,54,3.72,ZA,1677582152
59,lompoc,34.6391,-120.4579,7.69,79,51,3.13,US,1677582152
60,clinton,42.586999999999996,-82.9199,2.34,86,100,7.2,US,1677582153
61,albany,42.6001,-73.9662,-2.65,85,100,0.89,US,1677582153
62,havre-saint-pierre,50.2334,-63.5986,-21.02,91,7,2.23,CA,1677582154
63,chernyshevskiy,63.0128,112.4714,-19.28,94,99,4.6,RU,1677582154
64,divnomorskoye,44.5011,38.1353,12.22,69,100,1.39,RU,1677582154
65,maldonado,-34.6667,-54.9167,23.46,80,22,4.2,UY,1677582155
66,chokurdakh,70.6333,147.9167,-37.54,99,100,1.73,RU,1677582156
67,hay river,60.8156,-115.7999,-25.02,70,100,1.54,CA,1677582157
68,palasa,18.7667,84.4167,28.9,41,0,4.77,IN,1677582157
69,marrakesh,31.6315,-8.0083,15.04,72,75,2.06,MA,1677582158
70,maine-soroa,13.2114,12.0241,37.36,6,46,5.4,NE,1677582158
71,port alfred,-33.5906,26.891,23.99,93,33,0.45,ZA,1677582158
72,pacific grove,36.6177,-121.9166,6.5,91,100,4.26,US,1677582159
73,milkovo,54.7167,158.6167,-17.67,93,88,1.93,RU,1677582160
74,alofi,-19.0595,-169.9187,26.51,75,71,5.36,NU,1677582160
75,walvis bay,-22.9575,14.5053,20.28,70,54,4.4,,1677582161
76,berdigestyakh,62.0989,126.6992,-17.48,95,100,4.02,RU,1677582161
77,bara,10.3744,10.7288,38.83,6,93,5.21,NG,1677582161
78,mar del plata,-38.0023,-57.5575,20.05,86,0,1.34,AR,1677582163
79,nikolskoye,59.7035,30.7861,1.56,70,94,5.06,RU,1677582163
80,maridi,4.9158,29.4742,38.6,24,76,0.45,SS,1677582164
81,klaksvik,62.2266,-6.5889999999999995,6.51,72,99,2.78,FO,1677582164
82,aykhal,66.0,111.5,-24.52,82,40,3.54,RU,1677582165
83,bairiki,1.3292,172.9752,27.5,80,78,6.85,KI,1677582165
84,hobart,-42.8794,147.3294,14.92,84,40,2.57,AU,1677582155
85,atuona,-9.8,-139.0333,26.35,80,17,6.79,PF,1677582166
86,maceio,-9.6658,-35.7353,28.69,78,20,4.12,BR,1677582167
87,malanville,11.8685,3.3899,36.82,17,11,0.72,BJ,1677582167
88,ust-maya,60.4167,134.5333,-24.84,99,100,1.51,RU,1677582168
89,deoband,29.7,77.6833,30.97,14,64,5.67,IN,1677582168
90,nanortalik,60.1432,-45.2371,-2.58,75,100,11.84,GL,1677582169
91,alice springs,-23.7,133.8833,30.75,27,86,4.12,AU,1677582169
92,pakokku,21.3333,95.1,33.05,19,0,1.15,MM,1677582169
93,cabo san lucas,22.8909,-109.9124,18.62,79,98,0.45,MX,1677582170
94,minas novas,-17.2186,-42.5903,23.19,79,39,1.74,BR,1677582171
95,novyy urengoy,66.0833,76.6333,-10.23,96,100,3.48,RU,1677582171
96,coihaique,-45.5752,-72.0662,11.06,98,87,3.78,CL,1677582172
97,hofn,64.2539,-15.2082,6.6,91,100,5.95,IS,1677582173
98,liverpool,53.4106,-2.9779,8.3,80,75,5.66,GB,1677582174
99,bathsheba,13.2167,-59.5167,24.29,72,21,6.8,BB,1677582174
100,kirovskiy,45.0917,133.5136,-1.99,90,100,4.88,RU,1677582175
101,olafsvik,64.8945,-23.7142,6.41,94,100,9.58,IS,1677582175
102,turukhansk,65.8167,87.9833,-10.1,89,100,9.65,RU,1677582176
103,abilene,32.4487,-99.7331,12.19,34,0,3.09,US,1677582176
104,sao joao da barra,-21.6403,-41.0511,25.21,84,1,3.05,BR,1677582177
105,nha trang,12.25,109.1833,25.0,82,88,4.78,VN,1677581862
106,andenes,69.3143,16.1194,-0.01,74,75,11.83,NO,1677582177
107,severo-kurilsk,50.6789,156.125,-3.96,64,95,11.46,RU,1677582178
108,hithadhoo,-0.6,73.0833,26.94,79,23,4.95,MV,1677581885
109,kudat,6.8837,116.8477,25.68,87,57,6.46,MY,1677582179
110,shunyi,40.125,116.6453,10.97,19,0,6.0,CN,1677582087
111,georgetown,5.4112,100.3354,28.96,83,40,5.14,MY,1677581927
112,victoria,22.2855,114.1577,20.21,70,1,2.24,HK,1677582066
113,thompson,55.7435,-97.8558,-18.15,95,100,4.43,CA,1677582181
114,butaritari,3.0707,172.7902,27.77,76,53,4.47,KI,1677582182
115,lere,10.387,8.5726,35.69,7,85,4.15,NG,1677582183
116,cherskiy,68.75,161.3,-40.2,100,84,0.73,RU,1677582184
117,floro,61.5996,5.0328,6.09,93,75,2.06,NO,1677582185
118,saint-philippe,-21.3585,55.7679,30.77,80,46,4.23,RE,1677582185
119,carnarvon,-24.8667,113.6333,28.21,64,37,5.75,AU,1677581947
120,casablanca,33.5928,-7.6192,14.07,82,100,2.68,MA,1677582187
121,kavieng,-2.5744,150.7967,28.18,80,100,5.75,PG,1677582187
122,tahta,26.7693,31.5021,29.16,9,0,0.56,EG,1677582187
123,yellowknife,62.456,-114.3525,-26.71,76,75,2.06,CA,1677581983
124,dublin,37.7021,-121.9358,6.54,92,75,2.68,US,1677582072
125,batticaloa,7.7102,81.6924,26.33,81,92,5.15,LK,1677582189
